crwa_org,outcome,detail
City of Riverside,matched -> City of Riverside (CA),"place + governance match (100% overlap), 100% overlap"
City of Roseville,matched -> City of Roseville (CA),"place + governance match (100% overlap), 100% overlap"
City of San Buenaventura,no confident match - own pin,"parsed at Ventura, CA 93001"
City of San Joaquin,no confident match - own pin,"parsed at San Joaquin, CA 93660"
City of San Juan Bautista,matched -> City of San Juan Bautista (CA),"place + governance match (100% overlap), 100% overlap"
City of San Luis Obispo,matched -> City of San Luis Obispo (CA),"place + governance match (100% overlap), 100% overlap"
City of Santa Ana,matched -> City of Santa Ana (CA),"place + governance match (100% overlap), 100% overlap"
City of Santa Cruz Water Department/Water Production,no confident match - own pin,"parsed at Santa Cruz, CA 95060"
City of Santa Paula,matched -> City of Santa Paula (CA),"place + governance match (100% overlap), 100% overlap"
City of Santa Rosa – Utilities Administration,no confident match - own pin,"parsed at Santa Rosa, CA 95401"
City of Shafter,matched -> City of Shafter (CA),"place + governance match (100% overlap), 100% overlap"
City of Shasta Lake,matched -> City of Shasta Lake (CA),"place + governance match (100% overlap), 100% overlap"
City of Soledad,matched -> City of Soledad (CA),"place + governance match (100% overlap), 100% overlap"
City of Solvang,matched -> City of Solvang (CA),"place + governance match (100% overlap), 100% overlap"
City of Sonoma,matched -> City of Sonoma (CA),"place + governance match (100% overlap), 100% overlap"
City of Sunnyvale,matched -> City of Sunnyvale (CA),"place + governance match (100% overlap), 100% overlap"
City of Susanville,no confident match - own pin,"parsed at Susanville, CA 96130"
City of Sutter Creek,matched -> City of Sutter Creek (CA),"place + governance match (100% overlap), 100% overlap"
City of Tehachapi,no confident match - own pin,"parsed at Tehachapi, CA 93561"
City of Tehama,no confident match - own pin,"parsed at Tehama, CA 96090"
City of Trinidad,no confident match - own pin,"parsed at Trinidad, CA 95570"
City of Tulelake,no confident match - own pin,"parsed at Tulelake, CA 96134"
City of Turlock,no confident match - own pin,"parsed at Turlock, CA 95380"
City of Ukiah,matched -> City of Ukiah (CA),"place + governance match (100% overlap), 100% overlap"
CITY OF VENTURA-VENTURA WATER,no confident match - own pin,"parsed at Ventura, CA 93001"
City of Wasco,matched -> City of Wasco (CA),"place + governance match (100% overlap), 100% overlap"
City of Waterford,no confident match - own pin,"parsed at Waterford, CA 95386"
City of West Sacramento,no confident match - own pin,"parsed at West Sacramento, CA 95605"
City of Wheatland,no confident match - own pin,"parsed at Wheatland, CA 95692"
City of Willits,matched -> City of Willits (CA),"place + governance match (100% overlap), 100% overlap"
City of Winters,no confident match - own pin,"parsed at Winters, CA 95694"
City of Yreka,matched -> City of Yreka (CA),"place + governance match (100% overlap), 100% overlap"
Clear Creek Water Company,no confident match - own pin,"parsed at Cloverdale, CA 95425"
Clear Water Mutual Water Company,no confident match - own pin,"parsed at Kelseyville, CA 95451"
Clearlake Oaks County Water District,no confident match - own pin,"parsed at Clearlake Oaks, CA 95423"
Clearwater,no confident match - own pin,"parsed at Waterford, CA 95386"
Clio Public Utility Water District,no confident match - own pin,"parsed at Clio, CA 96106"
CLOVERDALE MUTUAL WATER CO.,no confident match - own pin,"parsed at Oxnard, CA 93036"
Cobb Area County Water District,no confident match - own pin,"parsed at Cobb, CA 95426"
Cold Springs Water Company,no confident match - own pin,"parsed at Cold Springs, CA 95335"
College Park Mutual Water,no confident match - own pin,"parsed at Penngrove, CA 94951"
"Colonial Oak Water Company, Inc.",no confident match - own pin,"parsed at Prunedale, CA 93907"
Colusa County Water Works #1,no confident match - own pin,"parsed at Grimes, CA 95950"
Copco Lake Mutual Water Company,no confident match - own pin,"parsed at Montague, CA 96064"
Cortland Pines Mutual Water Company,no confident match - own pin,"parsed at Shingletown, CA 96088"
Country Club County Water District,no confident match - own pin,"parsed at Turlock, CA 95380"
Country Hills Estates,no confident match - own pin,"parsed at ARROYO GRANDE, CA 93420"
County of Madera Special Districts,no confident match - own pin,"parsed at Madera, CA 93637"
County of Riverside Service Area 62,no confident match - own pin,"parsed at Blythe, CA 92225"
County of San Diego – Rancho Del Campo Water System,no confident match - own pin,"parsed at San Diego, CA 92123"
County of San Joaquin Utilities,matched -> County of San Joaquin (CA),"place + governance match (75% overlap), 75% overlap"
County Waterworks #1 Lower Lake District,no confident match - own pin,"parsed at Lower Lake, CA 95457"
Coyote Valley Mutual Water Company Inc.,no confident match - own pin,"parsed at Ocotillo, CA 92259"
Cramer Enterprises,no confident match - own pin,"parsed at Lakeport, CA 95453"
Crescent Bay Improvement Company,no confident match - own pin,"parsed at Lower Lake, CA 95457"
Crestline Village Water District,no confident match - own pin,"parsed at Crestline, CA 92325"
Crestview Mutual Water Company,no confident match - own pin,"parsed at Camarillo, CA 93010"
"Crowley Lake Mutual Water Company, Inc.",no confident match - own pin,"parsed at Crowley Lake, CA 93546"
Crows Landing Community Services District,no confident match - own pin,"parsed at Crows Landing, CA 95313"
Cuerno Largo Mutual Water Company,no confident match - own pin,"parsed at Los Olivos, CA 93441"
Cuesta La Honda Guild,no confident match - own pin,"parsed at La Honda, CA 94020"
Currier Estates Mutual Water Corp.,no confident match - own pin,"parsed at Tracy, CA 95304"
Cutler Public Utility District,no confident match - own pin,"parsed at Cutler, CA 93615"
Cutler-Orosi Joint Powers Wastewater Authority,no confident match - own pin,"parsed at Cutler, CA 93615"
Cuyama Community Services District,no confident match - own pin,"parsed at New Cuyama, CA 93254"
Cypress Mutual Water Company,no confident match - own pin,"parsed at Oxnard, CA 93036"
Daggett Community Services District,no confident match - own pin,"parsed at Daggett, CA 92327"
"Dakota West Realty, LLC.",no confident match - own pin,"parsed at Simi Valley, CA 93065"
Darwin Community Services District,no confident match - own pin,"parsed at Darwin, CA 93522"
De Anza Moon Valley Water Company,no confident match - own pin,"parsed at Sonoma, CA 95476"
Death Valley National Park – Scotty’s Castle,no confident match - own pin,"parsed at Death Valley, CA 92328"
Deer Meadow Mutual Water Company,no confident match - own pin,"parsed at Three Rivers, CA 93271"
Del Monte – Hanford,no confident match - own pin,"parsed at Hanford, CA 93230"
Del Norte Water Company,no confident match - own pin,"parsed at Ventura, CA 93007"
Del Oro Water Company,no confident match - own pin,"parsed at Chico, CA 95927"
Del Rey Community Service District,no confident match - own pin,"parsed at Del Rey, CA 93616"
Delhi County Water District,no confident match - own pin,"parsed at Delhi, CA 95315"
Denair Community Services District,matched -> Denair Community Services District (CA),"place + governance match (100% overlap), 100% overlap"
Descanso Community Water District,no confident match - own pin,"parsed at Descanso, CA 91916"
Desert Springs Mutual Water Company,no confident match - own pin,"parsed at Lucerne Valley, CA 92356"
Devore Water Company,no confident match - own pin,"parsed at San Bernardino, CA 92407"
Diablo Water District,matched -> Diablo Water District (CA),"place + governance match (100% overlap), 100% overlap"
DIAMOND A MUTUAL WATER COMPANY,no confident match - own pin,"parsed at El Verano, CA 95433"
Dixie Water Well Association,no confident match - own pin,"parsed at Ridgecrest, CA 93555"
Don Pedro Recreation Agency,no confident match - own pin,"parsed at La Grange, CA 95329"
Donner Summit Public Utility District,matched -> Donner Summit Public Utility District (CA),"place + governance match (100% overlap), 100% overlap"
Downieville Public Utilities District,no confident match - own pin,"parsed at Downieville, CA 95936"
East Austin Creek MWC,no confident match - own pin,"parsed at Cazadero, CA 95421"
East Bay Municipal Utility District – Pardee Center,no confident match - own pin,"parsed at Valley Springs, CA 95252"
East Bay Regional Park District,no confident match - own pin,"parsed at Oakland, CA 94605"
East Niles Community Services District,no confident match - own pin,"parsed at Bakersfield, CA 93386"
East Silverlake Improvement Association,no confident match - own pin,"parsed at Lincoln, CA 95648"
Eastern Sierra Community Service District,no confident match - own pin,"parsed at Bishop, CA 93514"
Eastside Water Association,no confident match - own pin,"parsed at Midway City, CA 92655"
El Capitan Mutual Water Company,no confident match - own pin,"parsed at Goleta, CA 93117"
El Dorado Mutual Water Company,no confident match - own pin,"parsed at Palmdale, CA 93551"
Elk Creek CSD,no confident match - own pin,"parsed at Elk Creek, CA 95939"
Elkins Ranch Water Company,no confident match - own pin,"parsed at Fillmore, CA 93016"
Ellensberg Lamb (Superior Packing),no confident match - own pin,"parsed at Sacramento, CA 95833"
Escalon Unified School District,no confident match - own pin,"parsed at Escalon, CA 95320"
Esparto Community Service District,no confident match - own pin,"parsed at Esparto, CA 95627"
Estero Mutual Water Co,no confident match - own pin,"parsed at Dillon Beach, CA 94929"
Evergreen Mutual Water Company,no confident match - own pin,"parsed at Lancaster, CA 93535"
Fall River Valley Community Service District,no confident match - own pin,"parsed at Fall River Mills, CA 96028"
Fallen Leaf Water Mutual Co,no confident match - own pin,"parsed at Sutter Creek, CA 95685"
Farmington Water Company,no confident match - own pin,"parsed at Farmington, CA 95230"
FCWWD,no confident match - own pin,"parsed at Fresno, CA 93725"
Feather River Canyon CSD,no confident match - own pin,"parsed at Twain, CA 95984"
Feather River Resource Conservation District,no confident match - own pin,"parsed at Quincy, CA 95971"
Fern Valley Water District,no confident match - own pin,"parsed at Idyllwild, CA 92549"
Fillmore Irrigation Company,no confident match - own pin,"parsed at Fillmore, CA 93015"
"First Mace Meadow Water Association, Inc.",no confident match - own pin,"parsed at Pine Grove, CA 95666"
Fish Camp Mutual Water Company,no confident match - own pin,"parsed at Madera, CA 93637"
Florin County Water District,no confident match - own pin,"parsed at Sacramento, CA 95828"
Floriston Property Owners Association,no confident match - own pin,"parsed at Floriston, CA 96111"
"FN Cellars, LLC Nickel & Nickel Vineyards",no confident match - own pin,"parsed at Oakville, CA 94562"
Folsom Lake Mutual Water Company,no confident match - own pin,"parsed at Granite Bay, CA 95746"
Forest Lakes Mutual Water Company,no confident match - own pin,"parsed at Felton, CA 95018"
Forest Park Mutual Water Company,no confident match - own pin,"parsed at Forest Falls, CA 92339"
Forest Ranch Mutual Water,no confident match - own pin,"parsed at Forest Ranch, CA 95942"
Forest Springs Improvement and Maintenance Association Inc,no confident match - own pin,"parsed at Boulder Creek, CA 95006"
Forestville Water District,matched -> Forestville Water District (CA),"place + governance match (100% overlap), 100% overlap"
Fort Independence Paiute Reservation,no confident match - own pin,"parsed at Independence, CA 93526"
FOUR BAR C FARMS,no confident match - own pin,"parsed at Fresno, CA 93706"
"Fowler Nurseries, Inc.",no confident match - own pin,"parsed at Newcastle, CA 95658"
Franklin County Water District,no confident match - own pin,"parsed at Merced, CA 95348"
Frazier Park Public Utility District,no confident match - own pin,"parsed at Frazier Park, CA 93225"
Fresno County Waterworks District #18,no confident match - own pin,"parsed at Fiant, CA 93626"
Fuller Falls Mutual Water Company,no confident match - own pin,"parsed at Moorpark, CA 93021"
Garberville Sanitary District,matched -> Garberville Sanitary District (CA),"place + governance match (100% overlap), 100% overlap"
Garden Farms Community Water District,no confident match - own pin,"parsed at Atascadero, CA 93422"
Garfield Water District,no confident match - own pin,"parsed at Clovis, CA 93612"
