named_account,outcome,looks_like_water,looks_like_municipal
REVERE CONTROL SYSTEMS INC,no water match,False,False
RIO TINTO,no water match,False,False
ROBERTSONS READY MIX,no water match,False,False
ROCKVIEW FARMS,no water match,False,False
ROCKVIEW FARMS INC.,no water match,False,False
ROSCOE MOSS MANUFACTURING CO.,no water match,False,True
ROSE ACRE FARMS - LONE CACTUS EGG F,no water match,False,False
ROSEBURG FOREST PRODUCTS,no water match,False,False
ROSEMONT COPPER(HUDBAY MINERALS),no water match,False,False
ROVISYS USA - THOUSAND OAKS CA,no water match,False,False
SACRAMENTO MUNICIPAL UTILITY,no water match,False,False
SACRAMENTO MUNICIPAL UTILITY DIST,no water match,False,True
SACRAMENTO MUNICIPAL UTILITY DISTRI,no water match,False,False
SAINT GOBAIN,no water match,False,False
SALT LAKE CITY CORPORATION,no water match,False,True
SALT RIVER PROJECT,no water match,False,False
SAN BERNARDINO MUNICIPAL WATER DEPT,matched,True,False
SAN DIEGO COUNTY WATER AUTH.,matched,True,True
SAN DIEGO COUNTY WATER AUTHORITY,no water match,True,True
SAN ELIJO JOINT POWER,no water match,False,False
SAN FRANCISCO CITY & COUNTY,no water match,False,True
SAN FRANCISCO WATER DEPT,no water match,True,False
